month,category,net_inflow_crore
2024-04-01,Large Cap,2413
2024-04-01,Mid Cap,3897
2024-04-01,Small Cap,3533
2024-04-01,Flexi Cap,4947
2024-04-01,Large & Mid Cap,4214
2024-04-01,ELSS,466
2024-04-01,Value/Contra,1328
2024-04-01,Sectoral/Thematic,8052
2024-04-01,Liquid,37537
2024-04-01,Short Duration,4400
2024-04-01,Gilt,784
2024-04-01,Hybrid,2955
2024-05-01,Large Cap,2076
2024-05-01,Mid Cap,5300
2024-05-01,Small Cap,4092
2024-05-01,Flexi Cap,5529
2024-05-01,Large & Mid Cap,4368
2024-05-01,ELSS,553
2024-05-01,Value/Contra,1361
2024-05-01,Sectoral/Thematic,8354
2024-05-01,Liquid,41872
2024-05-01,Short Duration,4833
2024-05-01,Gilt,836
2024-05-01,Hybrid,3487
2024-06-01,Large Cap,2519
2024-06-01,Mid Cap,5047
2024-06-01,Small Cap,3535
2024-06-01,Flexi Cap,4478
2024-06-01,Large & Mid Cap,4610
2024-06-01,ELSS,472
2024-06-01,Value/Contra,1386
2024-06-01,Sectoral/Thematic,10030
2024-06-01,Liquid,40486
2024-06-01,Short Duration,4321
2024-06-01,Gilt,864
2024-06-01,Hybrid,3163
2024-07-01,Large Cap,2574
2024-07-01,Mid Cap,4548
2024-07-01,Small Cap,3582
2024-07-01,Flexi Cap,4869
,Large & Mid Cap,5023
,ELSS,471
,Value/Contra,1582
,Sectoral/Thematic,9896
,Liquid,34643
,Short Duration,4170
,Gilt,959
,Hybrid,3291
,Large Cap,1940
,Mid Cap,3899
,Small Cap,3376
,Flexi Cap,5562
,Large & Mid Cap,5411
,ELSS,499
,Value/Contra,1308
,Sectoral/Thematic,8360
,Liquid,41952
,Short Duration,4658
,Gilt,952
,Hybrid,3684
,Large Cap,1879
,Mid Cap,4960
,Small Cap,4137
,Flexi Cap,5397
,Large & Mid Cap,4528
,ELSS,537
,Value/Contra,1334
,Sectoral/Thematic,8518
,Liquid,35308
,Short Duration,5327
,Gilt,925
,Hybrid,3015
,Large Cap,2255
,Mid Cap,4106
,Small Cap,4444
,Flexi Cap,6004
,Large & Mid Cap,4581
,Value/Contra,1595
,Sectoral/Thematic,7680
,Liquid,39091
,Short Duration,4675
,Gilt,898
,Hybrid,3314
,Large Cap,1870
,Mid Cap,4336
,Small Cap,3256
,Flexi Cap,6111
,Large & Mid Cap,5556
,ELSS,571
2024-11-01,Value/Contra,1436
2024-11-01,Sectoral/Thematic,7397
2024-11-01,Liquid,40506
2024-11-01,Short Duration,5316
2024-11-01,Gilt,704
2024-11-01,Hybrid,3264
2024-12-01,Large Cap,1923
2024-12-01,Mid Cap,5023
2024-12-01,Small Cap,4249
2024-12-01,Flexi Cap,4654
2024-12-01,Large & Mid Cap,4878
2024-12-01,ELSS,521
2024-12-01,Value/Contra,1414
2024-12-01,Sectoral/Thematic,9820
2024-12-01,Liquid,34933
2024-12-01,Short Duration,4159
2024-12-01,Gilt,831
2024-12-01,Hybrid,3538
2025-01-01,Large Cap,2025
2025-01-01,Mid Cap,4316
2025-01-01,Small Cap,4554
2025-01-01,Flexi Cap,5603
2025-01-01,Large & Mid Cap,4816
2025-01-01,ELSS,516
2025-01-01,Value/Contra,1339
2025-01-01,Sectoral/Thematic,7893
2025-01-01,Liquid,33892
2025-01-01,Short Duration,4752
2025-01-01,Gilt,744
2025-01-01,Hybrid,2967
2025-02-01,Large Cap,1925
2025-02-01,Mid Cap,4819
2025-02-01,Small Cap,3534
2025-02-01,Flexi Cap,6068
2025-02-01,Large & Mid Cap,5524
2025-02-01,ELSS,437
2025-02-01,Value/Contra,1400
2025-02-01,Sectoral/Thematic,9215
2025-02-01,Liquid,32374
2025-02-01,Short Duration,4033
2025-02-01,Gilt,942
2025-02-01,Hybrid,3360
2025-03-01,Large Cap,2234
2025-03-01,Mid Cap,5061
2025-03-01,Small Cap,4304
2025-03-01,Flexi Cap,4767
2025-03-01,Large & Mid Cap,4243
2025-03-01,ELSS,500
2025-03-01,Value/Contra,1497
2025-03-01,Sectoral/Thematic,8614
2025-03-01,Liquid,38681
2025-03-01,Short Duration,4886
2025-03-01,Gilt,956
2025-03-01,Hybrid,2830
